ObjID,a,e,inc,node,argPeri,ma,epochMJD_TDB,FORMAT
1931 UH,2.8699204,0.051878099999999996,12.98355,324.29177,280.83557,162.2656,60400.0,KEP
1931 VT,3.0214166,0.0885436,10.338,19.9799,46.52253,213.79727,60400.0,KEP
1931 YA,5.2525237,0.0928712,33.54454,48.54678,296.07841,9.63874,60400.0,KEP
1927 HA,3.1712226,0.1270159,6.93679,89.73895,176.73176,2.08077,60400.0,KEP
1931 LB,3.0092244,0.062115,11.26299,106.55683,165.756,259.28557,60400.0,KEP
1931 XA,2.9298891,0.1591311,12.76437,129.72103,211.37517,220.60093,60400.0,KEP
1931 XC,3.9477801,0.1897092,7.59305,149.56152,347.95654,224.69791,60400.0,KEP
1931 XD,3.1362544,0.12865269999999998,13.10992,271.2482,110.72864,267.15038,60400.0,KEP
1932 AA,2.7102336,0.11679669999999999,9.84066,285.81604,33.00986,16.59993,60400.0,KEP
1932 BA,2.579363,0.1315906,15.90787,123.70014,265.56149,176.66973,60400.0,KEP
1932 BL,2.2336574,0.1787403,7.60066,121.54552,144.83231,123.35169,60400.0,KEP
1932 EC,2.3535182,0.1534742,5.15384,148.38249,91.40678,131.92712,60400.0,KEP
1932 BJ,2.2630741,0.1082205,3.15767,63.76055,69.43388,31.47115,60400.0,KEP
1932 CJ,2.212731,0.12445619999999999,4.4114700000000004,42.50499,23.64994,69.79705,60400.0,KEP
1932 CU,3.0034447,0.0747297,11.36377,113.30248,331.74538,300.42319,60400.0,KEP
1932 EA1,1.9197249,0.4352064,11.87591,171.30753,26.67577,197.64174,60400.0,KEP
1932 LA,2.7933333,0.2498203,19.58891,245.73812,59.75578,220.11709,60400.0,KEP
1931 TG,2.8687527999999998,0.061397,2.54436,40.79841,14.71832,322.07249,60400.0,KEP
1927 SD,2.3045938,0.1986799,7.88678,258.01828,129.41038,195.39613,60400.0,KEP
1930 HK,2.2334688,0.0740845,3.07402,12.32785,101.37825,138.38391,60400.0,KEP
1930 HL,2.5854632,0.1100652,9.83473,17.44969,138.90935,268.18004,60400.0,KEP
1931 TD,3.2214291,0.1931852,16.47921,0.6358600000000001,303.66711,72.49245,60400.0,KEP
1931 TU,2.7703583,0.0402724,3.27822,307.82485,207.0832,241.11901,60400.0,KEP
1931 TP1,3.2221071,0.16665829999999998,1.04063,197.34584,166.9702,331.94281,60400.0,KEP
1931 TX1,2.5725492,0.179252,10.52036,200.50501,184.81736,142.69925,60400.0,KEP
1931 TE2,2.6697298,0.08641879999999999,11.45676,341.86227,247.83692,215.80077,60400.0,KEP
1931 TF2,3.174465,0.14144869999999998,10.37594,260.69647,340.63149,232.02647,60400.0,KEP
1931 TG2,2.5558652,0.0562031,5.60052,291.37865,333.35895,337.91301,60400.0,KEP
1931 UF,3.0144375,0.0871067,8.52727,304.31673,90.63386,237.2376,60400.0,KEP
1931 UJ,1.9103181,0.15479679999999998,25.00061,12.915140000000001,43.80619,345.75429,60400.0,KEP
1931 VX,2.4302187,0.2418213,13.17887,48.57237,306.09397,172.62347,60400.0,KEP
1931 XB,2.6121554,0.0770054,9.73588,57.8316,307.51199,7.76577,60400.0,KEP
